Rank,Page URL,Best Position,Average Position,Total Keywords,Top 3 Rankings,Top 10 Rankings,Page 2 Rankings,Clicks,Impressions,CTR %,Top Query,Top Query Position
190,https://careerplanb.co/iit-patna-btech-final-allotment-cutoff-analysis/,7.5,7.8,2,0,2,0,3,1035,0.29,iit patna cutoff,7.5
191,https://careerplanb.co/keam-2026-mathematics-important-chapters-weightage/,6.2,7.1,2,0,2,0,3,127,2.36,keam chapter wise weightage 2026,6.2
192,https://careerplanb.co/kgmu-lucknow-pg-courses-service-bond-detailed-guide-2025/,1.0,1.0,2,2,2,0,3,29,10.34,kgmu pg bond,1.0
193,https://careerplanb.co/neet-mds-syllabus-high-yield-topics/,3.0,4.2,2,1,2,0,3,9,33.33,neet mds syllabus topic wise,5.5
194,https://careerplanb.co/neet-pg-security-deposit-rules-2025/,1.0,1.1,2,2,2,0,3,57,5.26,security deposit for neet pg counselling,1.2
195,https://careerplanb.co/neigrihms-pg-courses-bond-details/,1.0,1.8,2,2,2,0,3,81,3.70,neigrihms pg bond,1.0
196,https://careerplanb.co/swayam-free-online-courses-government-recognized-certifications-2025/,6.1,13.0,2,0,1,1,3,204,1.47,swayam free courses with certificate,6.1
197,https://careerplanb.co/vydehi-institute-pg-fees-hostel-hospital/,2.5,3.7,2,1,2,0,3,70,4.29,vydehi medical college pg stipend,2.5
198,https://careerplanb.co/500-marks-in-neet-2025-best-mbbs-colleges/,1.0,6.9,83,48,71,8,3,856,0.35,550 marks in neet which government college,2.3
199,https://careerplanb.co/best-high-salary-diploma-courses-after-12th-2025/,1.0,5.8,362,257,334,12,3,797,0.38,best diploma courses,30.2
200,https://careerplanb.co/best-md-pediatrics-colleges-india-2025/,1.0,3.8,150,118,143,3,3,373,0.80,doctors in cmc vellore,3.0
201,https://careerplanb.co/best-polytechnic-courses-after-10th-in-india-2025/,1.0,12.7,119,71,83,9,3,3030,0.10,inter or diploma which is best,3.0
202,https://careerplanb.co/bits-pilani-nirf-ranking-2025-overall-engineering-university/,1.0,4.0,117,69,105,8,3,2810,0.11,bits nirf ranking 2025,3.2
203,https://careerplanb.co/bits-pilani-vs-vit-2025/,1.0,5.2,72,32,64,3,3,754,0.40,bits vs vit,4.7
204,https://careerplanb.co/career-options-after-12th-pcb-without-neet-top-high-salary-courses-alternatives/,1.0,2.9,3,2,3,0,3,24,12.50,career options with pcb other than medical,1.0
205,https://careerplanb.co/civil-vs-electrical-engineering-2025/,1.0,2.2,3,2,3,0,3,29,10.34,civil engineering and electrical engineering which is better,3.5
206,https://careerplanb.co/class-10-maths-mock-test-30-minute-preparation-guide/,4.8,5.6,3,0,3,0,3,30,10.00,class 10 math test,5.1
207,https://careerplanb.co/cmc-vellore-pg-courses-service-bond-guide/,1.0,3.0,3,2,3,0,3,17,17.65,cmc vellore bond details,5.1
208,https://careerplanb.co/dm-mch-super-specialty-courses-in-india-a-complete-overview/,1.0,4.8,3,1,3,0,3,47,6.38,direct dm courses after mbbs,7.6
209,https://careerplanb.co/gate-2026-mining-engineering-syllabus-pdf/,1.7,4.2,3,1,3,0,3,113,2.65,gate 2026 mining,1.7
210,https://careerplanb.co/gmc-nagpur-pg-courses-bond-2025/,1.0,3.6,3,2,3,0,3,119,2.52,gmc nagpur pg seats,7.3
211,https://careerplanb.co/iit-and-nit-mba-admissions-2025-cut-offs-selection-process/,8.0,11.2,3,0,2,1,3,61,4.92,best nit for mba,9.6
212,https://careerplanb.co/iit-bhilai-cutoff-analysis/,6.9,7.1,3,0,3,0,3,867,0.35,iit bhilai cse cutoff,7.0
213,https://careerplanb.co/iit-dharwad-cutoff-2025/,3.4,4.4,3,0,3,0,3,132,2.27,iit dharwad,3.7
214,https://careerplanb.co/iit-goa-vs-nit-goa-placements-nirf-2025-admissions/,1.6,2.7,3,2,3,0,3,530,0.57,iit goa,1.6
215,https://careerplanb.co/iit-hyderabad-placements-2025/,7.0,9.4,3,0,2,1,3,84,3.57,iit hyderabad mtech cse placements,7.0
216,https://careerplanb.co/iit-ropar-placements-2025/,7.5,9.7,3,0,1,1,3,85,3.53,iit ropar highest package 2025,10.7
217,https://careerplanb.co/kmch-dnb-admission-2025/,1.0,2.0,3,2,3,0,3,28,10.71,dnb,1.0
218,https://careerplanb.co/lic-golden-jubilee-scholarship-2025-closing-soon/,3.4,6.3,3,0,2,0,3,79,3.80,golden jubilee scholarship scheme 2025 status check,5.5
219,https://careerplanb.co/md-in-respiratory-medicine-complete-guide/,2.0,2.8,3,2,3,0,3,34,8.82,fellowship after md respiratory medicine,4.5
220,https://careerplanb.co/mop-up-round-neet-pg-complete-guide/,1.0,1.4,3,3,3,0,3,378,0.79,mop up round neet pg 2025,1.3
221,https://careerplanb.co/neet-pg-2025-state-quota-eligibility/,1.0,2.1,3,2,3,0,3,30,10.00,is there state quota in neet pg,1.0
222,https://careerplanb.co/neet-pg-stray-vacancy-round-guide/,6.0,9.1,3,0,1,1,3,218,1.38,neet pg special stray round,10.4
223,https://careerplanb.co/neet-ss-career-salary-jobs-opportunities/,2.8,6.0,3,1,3,0,3,101,2.97,neet ss,2.8
224,https://careerplanb.co/nirf-2025-top-architecture-planning-colleges/,5.2,11.3,3,0,2,0,3,98,3.06,nirf architecture ranking 2025,7.6
225,https://careerplanb.co/nit-mizoram-cut-off-2025/,4.3,5.2,3,0,3,0,3,197,1.52,nit mizoram cutoff 2025,4.3
226,https://careerplanb.co/nmims-sibm-imt-mba-2025-comparison/,7.7,8.1,3,0,3,0,3,22,13.64,imt ghaziabad or nmims mumbai,8.6
227,https://careerplanb.co/smcw-pune-neet-cutoff-2025-admission/,1.1,1.9,3,3,3,0,3,40,7.50,smcw pune,2.2
228,https://careerplanb.co/sms-medical-college-pg-seats-2025/,1.0,1.8,3,3,3,0,3,9,33.33,md medicine seats in sms jaipur,2.6
229,https://careerplanb.co/srm-vs-vit-nirf-2025/,1.6,2.7,3,2,3,0,3,55,5.45,srm or vit which is best,4.0
230,https://careerplanb.co/top-engineering-colleges-in-karnataka-nirf-2025-rankings/,1.0,2.8,3,1,3,0,3,119,2.52,but,4.0
231,https://careerplanb.co/upsc-ese-electrical-engineering-syllabus-pattern-complete-guide-for-2025/,4.9,6.4,3,0,3,0,3,112,2.68,ese electrical syllabus,7.4
232,https://careerplanb.co/vjti-vs-coep-pune-placement-comparison-2026/,2.0,3.4,3,2,3,0,3,177,1.69,coep,2.3
233,https://careerplanb.co/best-engineering-colleges-in-tamil-nadu-nirf-2025/,1.0,9.1,94,45,73,11,2,352,0.57,nirf ranking 2025 engineering colleges tamil nadu,5.1
234,https://careerplanb.co/colleges/dr-kv-subba-reddy-institute-of-technology-kurnool/,7.3,7.3,1,0,1,0,2,382,0.52,drkvsrit results,7.3
235,https://careerplanb.co/colleges/jananayak-chandrashekhar-university-ballia/,28.0,28.0,1,0,0,0,2,4,50.00,jncu admission,28.0
236,https://careerplanb.co/iiit-allahabad-final-cut-offs-2025-branch-wise-breakdown/,7.0,7.0,1,0,1,0,2,1565,0.13,iiit allahabad cutoff,7.0
237,https://careerplanb.co/iit-bhu-placements-2025/,5.8,5.8,1,0,1,0,2,26,7.69,iit bhu placement 2025 branch wise,5.8
238,https://careerplanb.co/mah-aac-cet-2025-eligibility-pattern-admission-guide/,1.8,1.8,1,1,1,0,2,112,1.79,mah aac cet full form,1.8
239,https://careerplanb.co/mechanical-engineering-interview-questions-2025-answers-guide/,35.5,35.5,1,0,0,0,2,2,100.00,mechanical engineering technical interview questions and answers pdf,35.5
240,https://careerplanb.co/nit-rourkela-sports-facilities-complete-infrastructure-guide/,5.5,5.5,1,0,1,0,2,38,5.26,nit rourkela sports facilities,5.5
241,https://careerplanb.co/nit-surathkal-admission-eligibility-courses/,2.0,2.0,1,1,1,0,2,2,100.00,nitk surathkal,2.0
242,https://careerplanb.co/science-vs-commerce-vs-arts/,3.1,3.1,1,0,1,0,2,2128,0.09,arts stream,3.1
243,https://careerplanb.co/st-johns-medical-college-bangalore-pg-fees/,4.5,4.5,1,0,1,0,2,25,8.00,st john's medical college pg fees,4.5
244,https://careerplanb.co/top-government-law-colleges-in-india/,5.5,5.5,1,0,1,0,2,41,4.88,gov law colleges,5.5
245,https://careerplanb.co/unique-career-options-2025/,2.1,2.1,1,1,1,0,2,74,2.70,unique career options,2.1
246,https://careerplanb.co/ai-and-robotics-courses-after-12th/,1.0,13.0,74,35,50,13,2,505,0.40,diploma in robotics engineering after 10th,3.0
247,https://careerplanb.co/amc-exam-pathway-australia/,1.0,4.3,105,74,97,6,2,346,0.58,amc clinical exam,2.2
248,https://careerplanb.co/ap-eamcet-rank-wise-colleges-predictor/,1.0,27.5,12,1,2,1,2,46,4.35,ap eamcet colleges rank wise,10.2
249,https://careerplanb.co/b-tech-in-design-2025-complete-guide/,1.0,4.1,25,18,24,0,2,359,0.56,btech in design,1.8
250,https://careerplanb.co/best-engineering-colleges-in-rajasthan-2025-rank/,1.0,5.8,92,69,81,4,2,1144,0.17,rajasthan engineering college list,9.6
251,https://careerplanb.co/bitsat-2026-dual-degree-programs-5-year-courses/,1.0,10.6,31,7,18,10,2,204,0.98,5 year integrated course in bits pilani,8.4
252,https://careerplanb.co/bjmc-ahmedabad-pg-courses-bond-details/,1.0,3.7,41,32,38,2,2,353,0.57,bj medical college ahmedabad pg stipend,1.0
253,https://careerplanb.co/cbse-career-guidance-2025-dashboard-launch/,8.1,8.9,2,0,2,0,2,99,2.02,career guidance cbse,9.6
254,https://careerplanb.co/chennai-institute-of-technology-nirf-ranking-guide/,1.0,2.8,2,1,2,0,2,78,2.56,cit nirf ranking 2025,4.5
255,https://careerplanb.co/clinical-vs-non-clinical-medical-specializations-career-paths-differences-strategic-insights-for-neet-pg-2025/,3.5,4.4,2,0,2,0,2,34,5.88,clinical and non clinical branches,3.5
256,https://careerplanb.co/colleges/haridwar-university-roorkee/,4.0,4.0,2,0,2,0,2,2,100.00,haridwar government college list,4.0
257,https://careerplanb.co/colleges/kj-somaiya-college-of-nursing-mumbai/,6.0,6.5,2,0,2,0,2,3,66.67,k j somaiya college of nursing mumbai,7.0
258,https://careerplanb.co/direct-admission-in-b-tech-colleges-of-hyderabad/,1.0,2.3,2,1,2,0,2,10,20.00,direct admission engineering college,3.6
259,https://careerplanb.co/dtu-vs-nsut-engineering-2025/,1.0,1.4,2,2,2,0,2,59,3.39,nsit vs dtu,1.0
260,https://careerplanb.co/essential-engineering-software-tools-guide/,1.0,11.0,2,1,1,0,2,4,50.00,engineering software,21.0
261,https://careerplanb.co/freelancing-courses-after-12th/,2.8,3.3,2,1,2,0,2,22,9.09,freelancing,3.8
262,https://careerplanb.co/gate-2026-geomatics-engineering-syllabus/,4.3,5.2,2,0,2,0,2,58,3.45,gate geomatics engineering syllabus,6.0
263,https://careerplanb.co/gate-2026-syllabus-for-aerospace-engineering-ae/,1.7,1.9,2,2,2,0,2,37,5.41,gate aerospace subject wise weightage,2.0
264,https://careerplanb.co/gate-2026-syllabus-for-architecture-planning/,3.5,5.7,2,0,2,0,2,50,4.00,gate architecture syllabus,7.9
265,https://careerplanb.co/gate-score-vs-marks-2026/,2.0,2.0,2,2,2,0,2,24,8.33,gate marks vs score,2.1
266,https://careerplanb.co/gim-placements-2025-salary-recruiters-programs/,1.2,1.5,2,2,2,0,2,910,0.22,gim average package,1.8
267,https://careerplanb.co/gmc-surat-pg-courses-complete-bond-duration-guide-2025/,1.9,2.1,2,2,2,0,2,44,4.55,gmc baroda pg stipend,1.9
268,https://careerplanb.co/gujcet-dates-exam-schedule/,8.6,8.7,2,0,2,0,2,418,0.48,cet exam date 2026 gujarat,8.7
269,https://careerplanb.co/iiit-bhagalpur-cutoff-2025-last-round/,6.3,6.4,2,0,2,0,2,192,1.04,iiit bhagalpur cse cutoff,6.3
270,https://careerplanb.co/iiit-ranchi-cut-off-2025/,5.9,6.4,2,0,2,0,2,275,0.73,iiit ranchi cse cutoff,6.9
271,https://careerplanb.co/iiit-rankings-nirf-2025-comparison/,1.5,1.6,2,2,2,0,2,250,0.80,iiit hyderabad nirf ranking 2025,1.6
272,https://careerplanb.co/iit-dhanbad-placements-2025/,7.5,8.4,2,0,2,0,2,138,1.45,iit dhanbad mtech placement 2025,9.3
273,https://careerplanb.co/iit-jodhpur-placements-2025/,11.2,15.0,2,0,0,2,2,21,9.52,iit jodhpur highest package,18.8
274,https://careerplanb.co/iit-patna-placements-2025/,1.2,1.8,2,2,2,0,2,49,4.08,iit patna placements 2025,2.5
275,https://careerplanb.co/iit-vs-nit-vs-iiit-guide/,1.0,7.0,2,1,1,1,2,117,1.71,iit ranking in world 2025,13.0
276,https://careerplanb.co/irma-interview-experience-what-they-ask-why/,2.0,6.1,2,1,1,0,2,13,15.38,irma interview transcript,10.2
277,https://careerplanb.co/jac-delhi-spot-round-2025/,2.8,3.0,2,1,2,0,2,53,3.77,upgradation round jac delhi,3.1
278,https://careerplanb.co/jain-university-vs-christ-university-2025/,1.3,2.6,2,1,2,0,2,12,16.67,christ university bangalore courses,4.0
279,https://careerplanb.co/jaypee-institute-admission-guide/,3.0,3.2,2,1,2,0,2,4,50.00,jaypee institute of engineering and technology,3.3
280,https://careerplanb.co/jee-main-session-1-vs-session-2/,1.5,2.1,2,2,2,0,2,40,5.00,how many sessions are there in jee mains,2.6
281,https://careerplanb.co/jss-medical-college-mysore-pg-fees/,11.0,11.9,2,0,0,2,2,144,1.39,jss medical college fees,11.0
282,https://careerplanb.co/kem-hospital-pg-courses-bond/,1.0,2.1,2,1,2,0,2,35,5.71,kem hospital pune dnb stipend,1.0
283,https://careerplanb.co/kl-university-vs-vignan-2025/,3.0,3.4,2,1,2,0,2,22,9.09,vignan university,3.8
284,https://careerplanb.co/mccqe-2025-guide-indian-mbbs-canada/,1.0,1.0,2,2,2,0,2,18,11.11,is indian mbbs valid in canada,1.0
285,https://careerplanb.co/medical-pg-loans-scholarships-2025/,2.0,3.8,2,1,2,0,2,5,40.00,education loan for pg medical,5.5
286,https://careerplanb.co/ms-ramaiah-vs-christ-university-2025/,3.0,3.0,2,2,2,0,2,2,100.00,christ college bangalore engineering,3.0
287,https://careerplanb.co/neet-pg-2025-mop-up-stray-vacancy-rounds/,1.0,1.0,2,2,2,0,2,16,12.50,all india mop up round 2025 neet pg,1.0
288,https://careerplanb.co/neet-pg-counselling-helpline-importance/,4.2,5.1,2,0,2,0,2,43,4.65,mcc neet pg helpline number,4.2
289,https://careerplanb.co/neet-pg-mop-up-dates-2025/,3.9,4.5,2,0,2,0,2,206,0.97,mop up round neet pg 2025 schedule,5.2
290,https://careerplanb.co/neet-pg-seat-matrix-2025-complete-guide/,6.8,8.8,2,0,1,0,2,67,2.99,no of seats in neet pg,6.8
291,https://careerplanb.co/neet-ss-counselling-2025-guide/,4.7,11.2,2,0,1,1,2,110,1.82,neet ss counselling,17.7
292,https://careerplanb.co/neet-ss-vs-other-pg-medical-entrance-exams-key-differences/,2.4,2.8,2,1,2,0,2,289,0.69,neet ss,2.4
293,https://careerplanb.co/next-exam-2026-schedule-deadlines/,7.0,7.4,2,0,2,0,2,132,1.52,next 2026,7.0
294,https://careerplanb.co/nit-kurukshetra-cut-off-2025/,7.0,8.0,2,0,2,0,2,194,1.03,haryana,7.0
295,https://careerplanb.co/open-universities-vs-regular-colleges/,1.6,1.8,2,2,2,0,2,17,11.76,open university vs regular university,1.6
296,https://careerplanb.co/optimal-sleep-wake-cycles-for-neet-aspirants/,1.8,2.4,2,2,2,0,2,5,40.00,5.30 hours,3.0
297,https://careerplanb.co/pec-chandigarh-nirf-2025-ranking-analysis/,3.6,4.2,2,0,2,0,2,145,1.38,nirf ranking of pec,3.6
298,https://careerplanb.co/pg-medical-salary-in-india-2025/,1.2,1.7,2,2,2,0,2,165,1.21,highest earning pg branches in india,1.2
299,https://careerplanb.co/popular-medical-branches-in-india-after-mbbs/,1.0,1.9,2,2,2,0,2,54,3.70,top 10 medical branches in india,1.0
300,https://careerplanb.co/popular-neet-ss-courses-india/,1.0,1.0,2,2,2,0,2,33,6.06,superspeciality courses after md,1.0
301,https://careerplanb.co/psg-tech-vs-cit-coimbatore-comparison/,3.0,3.8,2,1,2,0,2,7,28.57,psg college of technology highest package cse 2025,4.7
302,https://careerplanb.co/reporter-vs-journalist-differences-career-guide/,1.0,1.4,2,2,2,0,2,69,2.90,difference between news reporter and journalist,1.0
303,https://careerplanb.co/rv-engineering-college-nirf-ranking/,2.5,3.3,2,1,2,0,2,231,0.87,rv college nirf ranking,2.5
304,https://careerplanb.co/stanley-medical-college-pg-fees/,4.6,4.8,2,0,2,0,2,243,0.82,stanley medical college fees,4.9
305,https://careerplanb.co/stray-vacancy-round-2025-guide/,2.0,2.2,2,2,2,0,2,4,50.00,special stray vacancy round neet pg 2025,2.3
306,https://careerplanb.co/top-10-dental-colleges-india/,1.0,1.5,2,2,2,0,2,154,1.30,top 10 bds colleges in india,1.0
307,https://careerplanb.co/top-private-engineering-colleges/,8.2,26.9,2,0,1,0,2,135,1.48,top 10 private engineering colleges in india nirf ranking,8.2
308,https://careerplanb.co/top-snap-2025-colleges-mba-specializations-symbiosis/,1.0,3.1,2,1,2,0,2,22,9.09,all symbiosis colleges,5.2
309,https://careerplanb.co/ucms-delhi-md-ms-seats-bond-and-branch-details-2025/,5.1,6.2,2,0,2,0,2,38,5.26,ucms pg stipend,5.1
310,https://careerplanb.co/xlri-mba-worth-it/,1.2,2.9,2,1,2,0,2,220,0.91,is xlri worth it,4.7
311,https://careerplanb.co/99-99-percentile-cet-2025-marks-required-top-colleges-admission/,1.0,4.3,85,66,76,5,1,320,0.31,99.9 percentile meaning,7.0
312,https://careerplanb.co/a-career-in-ethical-hacking-cybersecurity-in-india/,1.0,22.8,5,2,4,0,1,8,12.50,ethical hacker,1.0
313,https://careerplanb.co/about-us/,1.0,10.0,8,2,6,0,1,123,0.81,career plan b,5.0
314,https://careerplanb.co/active-recall-and-spaced-repetition-techniques-for-neet/,1.0,3.1,33,26,32,1,1,38,2.63,science,3.0
315,https://careerplanb.co/aiims-colleges-list-2025-seats-ranking-admission/,1.0,10.2,169,112,130,11,1,812,0.12,top aiims in india,3.2
316,https://careerplanb.co/all-india-quota-vs-state-quota-neet-pg-guide/,1.0,14.1,55,22,31,12,1,442,0.23,pg aiq seat means,1.0
317,https://careerplanb.co/amity-university-noida-placements-complete-guide/,1.0,10.0,150,36,103,29,1,952,0.11,amity placement rate,5.4
318,https://careerplanb.co/b-sc-medical-imaging-technology-admission-process-2026/,1.0,9.6,21,12,18,1,1,43,2.33,yes,2.2
319,https://careerplanb.co/b-sc-nursing-salary-in-india-2025/,1.0,4.7,777,617,712,27,1,7564,0.01,bsc nursing salary per month in government hospital,1.6
320,https://careerplanb.co/baby-iim-2025-reality-explained/,1.0,3.6,61,48,58,1,1,234,0.43,baby iims,23.0
321,https://careerplanb.co/baby-iims-india-2025-complete-guide/,1.0,4.6,143,87,129,10,1,749,0.13,is iim sirmaur baby iims,1.9
322,https://careerplanb.co/baby-iims-the-rising-stars-of-indian-mba/,1.0,6.5,41,26,35,1,1,279,0.36,baby iims ranking,8.6
323,https://careerplanb.co/banking-jobs-in-india/,13.5,30.6,2,0,0,1,1,7,14.29,bank career program,13.5
324,https://careerplanb.co/bcom-mcom-integrated-course-guide/,1.0,24.7,10,4,7,0,1,32,3.12,bcom mcom integrated course,3.1
325,https://careerplanb.co/best-deemed-engineering-universities/,1.0,23.0,47,23,28,0,1,407,0.25,top 10 deemed universities in india for engineering,4.3
326,https://careerplanb.co/best-diploma-courses-after-12th/,1.0,9.5,609,397,499,39,1,5469,0.02,diploma courses,1.4
327,https://careerplanb.co/best-engineering-colleges-in-punjab/,1.0,12.6,152,71,100,20,1,3433,0.03,top engineering colleges in punjab,10.2
328,https://careerplanb.co/best-engineering-colleges-uttar-pradesh-high-placements/,1.0,6.0,236,163,205,13,1,3583,0.03,"यूपी के इंजीनियरिंग कॉलेज iit-nit को टक्कर दे रहे हैं, शानदार प्लेसमेंट के साथ",2.4
329,https://careerplanb.co/best-hr-program-india-tiss-mumbai-complete-guide/,1.0,12.3,35,9,20,5,1,135,0.74,tiss hrm fees,10.6
330,https://careerplanb.co/best-online-platforms-for-jee-main-mock-tests-2026/,1.0,4.8,259,142,236,13,1,1106,0.09,best app for jee mock test free,1.0
331,https://careerplanb.co/best-surgery-colleges-india-2025/,1.0,3.6,202,149,192,9,1,458,0.22,kgmu university lucknow,3.0
332,https://careerplanb.co/best-women-engineering-colleges-india-2025-admission-placements/,1.0,10.0,28,16,24,1,1,128,0.78,top women college in india,5.0
333,https://careerplanb.co/bgs-global-institute-pg-fees-branches/,1.0,40.1,11,2,4,0,1,43,2.33,bgs medical college pg fees,4.2
334,https://careerplanb.co/bhu-pg-admission-2025/,1.0,13.1,29,5,14,11,1,86,1.16,ims bhu pg bond,4.2
335,https://careerplanb.co/bioinformatics-careers-in-india-top-10-high-salary-jobs/,1.0,8.9,187,76,130,39,1,1341,0.07,salary,3.0
336,https://careerplanb.co/bits-pilani-vs-bits-goa-nirf-2025/#nirf-2025-rankings-overview,3.4,8.5,34,0,20,7,1,598,0.17,nirf ranking of bits goa,3.7
337,https://careerplanb.co/bitsat-2026-chemistry-syllabus-weightage-preparation/,1.0,13.7,18,8,11,2,1,121,0.83,bitsat chapter wise weightage 2026,3.2
338,https://careerplanb.co/bitsat-2026-international-students-eligibility/,1.0,4.8,27,16,22,5,1,155,0.65,bits admission 2026,1.0
339,https://careerplanb.co/bitsat-2026-iteration-process-multiple-attempts-explained/,1.0,7.6,51,32,38,6,1,1105,0.09,bitsat attempt,22.5
340,https://careerplanb.co/bitsat-2026-study-plan/,1.0,21.9,7,2,3,1,1,16,6.25,yes please,2.0
341,https://careerplanb.co/bitsat-subject-wise-weightage-2026/,1.0,9.1,36,11,26,2,1,490,0.20,bitsat marks distribution,8.5
342,https://careerplanb.co/bitsat-vs-jee-main-2026/,1.0,3.0,208,192,203,2,1,1147,0.09,bits pilani me admission kaise le,3.0
343,https://careerplanb.co/bj-mj-integrated-course-guide/,1.0,6.9,6,2,4,2,1,39,2.56,bj mj,1.0
344,https://careerplanb.co/bjmc-ahmedabad-pg-courses-bond-details/#bjmc-bond-duration-terms,6.4,7.3,3,0,3,0,1,21,4.76,bjmc ahmedabad pg bond,6.4
345,https://careerplanb.co/bsc-bed-course-details-guide/,1.0,15.5,77,33,49,11,1,572,0.17,bsc bed career options,4.1
346,https://careerplanb.co/bsc-neuropsychology-technology-admission-2026/,1.0,5.2,48,30,42,3,1,214,0.47,bsc neuropsychology,1.1
347,https://careerplanb.co/btech-plastic-engineering-career-scope-2025-guide/,1.0,3.0,27,20,25,0,1,87,1.15,job,8.0
348,https://careerplanb.co/career-counselling-working-professionals/,7.0,16.9,3,0,2,0,1,77,1.30,career plan b,7.7
349,https://careerplanb.co/career-options-after-ba/,5.9,5.9,1,0,1,0,1,98,1.02,top 10 courses after ba with high salary,5.9
350,https://careerplanb.co/cat-admit-card-2025-download-errors-exam-day-instructions/,1.0,1.0,1,1,1,0,1,4,25.00,infoself-slotting was not opted within the specified time window. therefore your admit card is not available,1.0
351,https://careerplanb.co/cbse-skill-based-subjects-2025/,18.0,18.0,1,0,0,1,1,1,100.00,skill education cbse syllabus,18.0
352,https://careerplanb.co/chandigarh-university-admission-2026/,1.0,1.0,1,1,1,0,1,2,50.00,b tech biotechnology in chandigarh university,1.0
353,https://careerplanb.co/chip-design-career-guide-2025/,1.0,1.0,1,1,1,0,1,20,5.00,how to become a chip designer,1.0
354,https://careerplanb.co/choose-right-engineering-exam-2026/,7.7,7.7,1,0,1,0,1,89,1.12,engineering entrance exams 2026,7.7
355,https://careerplanb.co/class-10-science-most-scoring-chapters/,2.9,2.9,1,1,1,0,1,15,6.67,class 10 science easiest chapter,2.9
356,https://careerplanb.co/class-12-vs-gap-year/,3.0,3.0,1,1,1,0,1,1,100.00,12th result date maharashtra board,3.0
357,https://careerplanb.co/cmc-vellore-vs-madras-medical-college/,1.7,1.7,1,1,1,0,1,9,11.11,mmc vs cmc,1.7
358,https://careerplanb.co/colleges-accepting-jee-advanced/,4.6,4.6,1,0,1,0,1,55,1.82,jee advanced colleges,4.6
359,https://careerplanb.co/colleges/bharti-ayurved-medical-college-and-hospital-durg/,5.5,5.5,1,0,1,0,1,2,50.00,bharti ayurved medical college,5.5
360,https://careerplanb.co/colleges/bkp-college-of-computer-education-deori/,7.8,7.8,1,0,1,0,1,20,5.00,bkp college deori,7.8
361,https://careerplanb.co/colleges/dr-ram-manohar-lohia-avadh-university-faizabad/,8.6,8.6,1,0,1,0,1,5,20.00,rmlau career,8.6
362,https://careerplanb.co/colleges/florence-institute-of-paramedical-science-ranchi/,10.3,10.3,1,0,0,0,1,6,16.67,florence college of paramedical sciences,10.3
363,https://careerplanb.co/colleges/gokaraju-rangaraju-institute-of-engineering-and-technology-hyderabad/,6.3,6.3,1,0,1,0,1,57,1.75,griet hyderabad,6.3
364,https://careerplanb.co/colleges/heritage-institute-of-hotel-and-tourism-agra/,10.9,10.9,1,0,0,0,1,30,3.33,heritage institute of hotel and tourism agra,10.9
365,https://careerplanb.co/colleges/indira-gandhi-institute-of-child-health-bangalore/,13.9,13.9,1,0,0,1,1,10,10.00,indira gandhi institute of child health fellowship,13.9
366,https://careerplanb.co/colleges/international-school-of-technology-and-sciences-for-women-rajahmundry/,3.5,3.5,1,0,1,0,1,26,3.85,international school of technology and sciences for women,3.5
367,https://careerplanb.co/colleges/kakinada-institute-of-technology-and-science-divili/,16.2,16.2,1,0,0,1,1,4,25.00,kits engineering college divili,16.2
368,https://careerplanb.co/colleges/kits-akshar-institute-of-technology-guntur/,10.2,10.2,1,0,0,0,1,485,0.21,kits akshar institute of technology,10.2
369,https://careerplanb.co/colleges/madras-school-of-social-work-chennai/,25.5,25.5,1,0,0,0,1,6,16.67,madras school of social work,25.5
370,https://careerplanb.co/colleges/mahatma-gandhi-government-arts-college-chalakkara/,8.2,8.2,1,0,1,0,1,6,16.67,mahe college courses,8.2
371,https://careerplanb.co/colleges/national-university-of-advanced-legal-studies-kochi/,4.4,4.4,1,0,1,0,1,119,0.84,nlu kochi,4.4
372,https://careerplanb.co/colleges/nellai-college-of-engineering-tirunelveli/,8.1,8.1,1,0,1,0,1,8,12.50,nellai college of engineering fees structure,8.1
373,https://careerplanb.co/colleges/odisha-university-of-agriculture-and-technology-bhubaneswar/,9.7,9.7,1,0,1,0,1,345,0.29,ouat bhubaneswar,9.7
374,https://careerplanb.co/colleges/om-engineering-college-junagadh/,7.0,7.0,1,0,1,0,1,12,8.33,om engineering college,7.0
375,https://careerplanb.co/colleges/qis-college-of-pharmacy-ongole/,10.1,10.1,1,0,0,0,1,10,10.00,qis college of pharmacy,10.1
376,https://careerplanb.co/colleges/ramdayalu-singh-college-muzaffarpur/,7.4,7.4,1,0,1,0,1,45,2.22,ramdayalu singh college,7.4
377,https://careerplanb.co/colleges/rashtriya-raksha-university-gandhinagar/,4.0,4.0,1,0,1,0,1,8,12.50,rru fee structure,4.0
378,https://careerplanb.co/colleges/regional-institute-of-education-bhopal/,12.2,12.2,1,0,0,1,1,6,16.67,rie bhopal entrance exam 2026,12.2
379,https://careerplanb.co/colleges/shiv-nadar-university-chennai/,11.9,11.9,1,0,0,1,1,35,2.86,shiv nadar university chennai fees,11.9
380,https://careerplanb.co/colleges/st-francis-college-for-women-hyderabad/,5.3,5.3,1,0,1,0,1,7,14.29,st francis college for women admissions,5.3
381,https://careerplanb.co/colleges/surajmal-medical-college-of-ayurveda-and-hospital-kichha/,7.3,7.3,1,0,1,0,1,26,3.85,surajmal ayurvedic medical college,7.3
